code,name,brand,image,category,stores,generic,taxonomy_l3,taxonomy_l2
4000417108104,Crispy Cookie,Ritter Sport,https://images.openfoodfacts.org/images/products/400/041/710/8104/front_de.7.200.jpg,suesses-knabberei,edeka,Schokolade dunkel,zartbitterschokolade,schokolade
4000540001808,Schoko 2.0 Hafer-Müsli,Kölln,https://images.openfoodfacts.org/images/products/400/054/000/1808/front_de.28.200.jpg,fruehstueck-aufstrich,edeka,Müsli Schokolade,schokomuesli,muesli
4311501035368,Nuss Nougat Creme,Edeka,https://images.openfoodfacts.org/images/products/431/150/103/5368/front_de.7.200.jpg,fruehstueck-aufstrich,edeka,Nuss-Nougat-Creme,pralinen-konfekt,suesses-knabberei
4337256426534,Hähnchenbrustfilet,ja!,https://images.openfoodfacts.org/images/products/433/725/642/6534/front_de.21.200.jpg,fleisch-fisch,rewe,Hähnchenbrust Aufschnitt,gefluegelwurst,wurst-aufschnitt
4056489753919,Vollmilch extra cremig 30%,J.D. Gross,https://images.openfoodfacts.org/images/products/405/648/975/3919/front_de.7.200.jpg,suesses-knabberei,lidl,Vollmilchschokolade,vollmilchschokolade,schokolade
4066447576245,Schokocrème Zartbitter,DmBio,https://images.openfoodfacts.org/images/products/406/644/757/6245/front_de.38.200.jpg,fruehstueck-aufstrich,dm,Schokoaufstrich Zartbitter,schokocreme,suesse-brotaufstriche
4337256628051,Ahornsirup,Rewe Bio,https://images.openfoodfacts.org/images/products/433/725/662/8051/front_de.22.200.jpg,fruehstueck-aufstrich,rewe,Ahornsirup,ahornsirup,sirup-dicksaft
4337256605694,Apfelsaft natürtrüb,REWE Bio,https://images.openfoodfacts.org/images/products/433/725/660/5694/front_de.26.200.jpg,getraenke,rewe,Apfelsaft naturtrüb,apfelsaft,saft
4337256450386,Süßrahm Butter,REWE Bio,https://images.openfoodfacts.org/images/products/433/725/645/0386/front_de.4.200.jpg,milch-eier,rewe,Süßrahmbutter,suessrahmbutter,butter-streichfett
4337256609524,Schokokekse Vollmilch,Ja!,https://images.openfoodfacts.org/images/products/433/725/660/9524/front_de.17.200.jpg,suesses-knabberei,rewe,Schokokekse Vollmilch,schokoladenkekse,kekse-gebaeck
4337256571845,Kakao Drink,Ja,https://images.openfoodfacts.org/images/products/433/725/657/1845/front_de.13.200.jpg,getraenke,rewe,Kakaopulver,kakaopulver,kakao
4337256667784,Noir 80% Schokolade,Rewe,https://images.openfoodfacts.org/images/products/433/725/666/7784/front_de.8.200.jpg,suesses-knabberei,rewe,Zartbitterschokolade,zartbitterschokolade,schokolade
4061464833838,Schoko-Müsli mit 30 % weniger Zucker,Golden Bridge,https://images.openfoodfacts.org/images/products/406/146/483/3838/front_de.19.200.jpg,fruehstueck-aufstrich,aldi,Müsli Schokolade,schokomuesli,muesli
4337256619417,Hafer Natur,Rewe,https://images.openfoodfacts.org/images/products/433/725/661/9417/front_de.17.200.jpg,suesses-knabberei,rewe,Haferdrink Joghurt,pflanzendrinks-joghurt,suesses-knabberei
4061464177536,Karamell Crisps,Golden Bridge,https://images.openfoodfacts.org/images/products/406/146/417/7536/front_de.24.200.jpg,fruehstueck-aufstrich,aldi,Frühstückscerealien Karamell,cerealien,fruehstueck-aufstrich
4305615985800,Proteinriegel Cookies & Cream Geschmack,enerBio,https://images.openfoodfacts.org/images/products/430/561/598/5800/front_de.26.200.jpg,suesses-knabberei,rossmann,Proteinriegel Cookies Cream,proteinriegel,muesliriegel
4056489665519,Bio Haferflocken zart,Crownfield,https://images.openfoodfacts.org/images/products/405/648/966/5519/front_de.37.200.jpg,fruehstueck-aufstrich,lidl,Haferflocken zart,haferflocken,haferflocken-getreideflocken
